"","country_region_code","country_region","sub_country","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"63813","GB","United Kingdom",NA,"","","",NA,2020-02-15,-12,-7,-35,-12,-4,2
"63814","GB","United Kingdom",NA,"","","",NA,2020-02-16,-7,-6,-28,-7,-3,1
"63815","GB","United Kingdom",NA,"","","",NA,2020-02-17,10,1,24,-2,-14,2
"63816","GB","United Kingdom",NA,"","","",NA,2020-02-18,7,-1,20,-3,-14,2
"63817","GB","United Kingdom",NA,"","","",NA,2020-02-19,6,-2,8,-4,-14,3
"63818","GB","United Kingdom",NA,"","","",NA,2020-02-20,5,-2,4,-5,-14,3
"63819","GB","United Kingdom",NA,"","","",NA,2020-02-21,5,-1,10,-3,-15,3
"63820","GB","United Kingdom",NA,"","","",NA,2020-02-22,-4,-2,-7,-2,-2,1
"63821","GB","United Kingdom",NA,"","","",NA,2020-02-23,-1,-2,-5,3,-1,0
"63822","GB","United Kingdom",NA,"","","",NA,2020-02-24,-3,-1,-9,-2,-2,1
"63823","GB","United Kingdom",NA,"","","",NA,2020-02-25,-1,4,3,1,1,0
"63824","GB","United Kingdom",NA,"","","",NA,2020-02-26,1,0,6,-1,1,0
"63825","GB","United Kingdom",NA,"","","",NA,2020-02-27,2,1,8,0,0,0
"63826","GB","United Kingdom",NA,"","","",NA,2020-02-28,1,1,-13,0,-1,1
"63827","GB","United Kingdom",NA,"","","",NA,2020-02-29,1,1,-14,-2,0,0
"63828","GB","United Kingdom",NA,"","","",NA,2020-03-01,7,2,14,5,1,-1
"63829","GB","United Kingdom",NA,"","","",NA,2020-03-02,4,4,14,0,1,0
"63830","GB","United Kingdom",NA,"","","",NA,2020-03-03,2,3,11,-1,1,0
"63831","GB","United Kingdom",NA,"","","",NA,2020-03-04,2,3,2,-2,1,1
"63832","GB","United Kingdom",NA,"","","",NA,2020-03-05,-1,2,1,-3,0,1
"63833","GB","United Kingdom",NA,"","","",NA,2020-03-06,5,6,22,1,1,0
"63834","GB","United Kingdom",NA,"","","",NA,2020-03-07,0,2,7,-1,1,0
"63835","GB","United Kingdom",NA,"","","",NA,2020-03-08,4,2,15,2,1,-1
"63836","GB","United Kingdom",NA,"","","",NA,2020-03-09,0,4,4,-3,0,1
"63837","GB","United Kingdom",NA,"","","",NA,2020-03-10,-2,5,4,-4,0,1
"63838","GB","United Kingdom",NA,"","","",NA,2020-03-11,0,5,10,-6,0,1
"63839","GB","United Kingdom",NA,"","","",NA,2020-03-12,-1,11,5,-8,-1,2
"63840","GB","United Kingdom",NA,"","","",NA,2020-03-13,-2,11,12,-9,-4,2
"63841","GB","United Kingdom",NA,"","","",NA,2020-03-14,-10,7,1,-15,-2,2
"63842","GB","United Kingdom",NA,"","","",NA,2020-03-15,-11,7,-1,-16,-4,2
"63843","GB","United Kingdom",NA,"","","",NA,2020-03-16,-3,20,29,-16,-9,4
"63844","GB","United Kingdom",NA,"","","",NA,2020-03-17,-15,21,6,-27,-16,7
"63845","GB","United Kingdom",NA,"","","",NA,2020-03-18,-21,22,-3,-34,-23,10
"63846","GB","United Kingdom",NA,"","","",NA,2020-03-19,-21,24,2,-37,-27,11
"63847","GB","United Kingdom",NA,"","","",NA,2020-03-20,-28,10,6,-40,-29,13
"63848","GB","United Kingdom",NA,"","","",NA,2020-03-21,-50,1,2,-46,-25,11
"63849","GB","United Kingdom",NA,"","","",NA,2020-03-22,-56,-14,20,-46,-30,9
"63850","GB","United Kingdom",NA,"","","",NA,2020-03-23,-45,-8,1,-53,-45,17
"63851","GB","United Kingdom",NA,"","","",NA,2020-03-24,-71,-24,-14,-64,-58,24
"63852","GB","United Kingdom",NA,"","","",NA,2020-03-25,-73,-26,-12,-68,-64,26
"63853","GB","United Kingdom",NA,"","","",NA,2020-03-26,-74,-28,-11,-70,-66,27
"63854","GB","United Kingdom",NA,"","","",NA,2020-03-27,-76,-29,-26,-71,-66,28
"63855","GB","United Kingdom",NA,"","","",NA,2020-03-28,-83,-39,-54,-74,-57,20
"63856","GB","United Kingdom",NA,"","","",NA,2020-03-29,-85,-46,-52,-75,-55,15
"63857","GB","United Kingdom",NA,"","","",NA,2020-03-30,-74,-32,-33,-73,-69,27
"63858","GB","United Kingdom",NA,"","","",NA,2020-03-31,-74,-30,-21,-72,-70,27
"63859","GB","United Kingdom",NA,"","","",NA,2020-04-01,-75,-32,-29,-73,-69,28
"63860","GB","United Kingdom",NA,"","","",NA,2020-04-02,-75,-32,-24,-73,-70,29
"63861","GB","United Kingdom",NA,"","","",NA,2020-04-03,-76,-30,-25,-72,-69,29
"63862","GB","United Kingdom",NA,"","","",NA,2020-04-04,-81,-36,-38,-72,-57,19
"63863","GB","United Kingdom",NA,"","","",NA,2020-04-05,-82,-41,-29,-70,-54,15
"63864","GB","United Kingdom",NA,"","","",NA,2020-04-06,-73,-31,-20,-72,-70,27
"63865","GB","United Kingdom",NA,"","","",NA,2020-04-07,-73,-29,-7,-69,-70,27
"63866","GB","United Kingdom",NA,"","","",NA,2020-04-08,-73,-27,-14,-70,-70,27
"63867","GB","United Kingdom",NA,"","","",NA,2020-04-09,-71,-20,-13,-70,-70,27
"63868","GB","United Kingdom",NA,"","","",NA,2020-04-10,-78,-33,-18,-75,-80,32
"63869","GB","United Kingdom",NA,"","","",NA,2020-04-11,-81,-32,-37,-70,-57,19
"63870","GB","United Kingdom",NA,"","","",NA,2020-04-12,-89,-63,-33,-71,-58,16
"63871","GB","United Kingdom",NA,"","","",NA,2020-04-13,-78,-41,-21,-78,-83,31
"63872","GB","United Kingdom",NA,"","","",NA,2020-04-14,-71,-26,-10,-69,-70,27
"63873","GB","United Kingdom",NA,"","","",NA,2020-04-15,-72,-27,-6,-69,-69,27
"63874","GB","United Kingdom",NA,"","","",NA,2020-04-16,-73,-27,-7,-70,-69,28
"63875","GB","United Kingdom",NA,"","","",NA,2020-04-17,-75,-30,-33,-71,-68,29
"63876","GB","United Kingdom",NA,"","","",NA,2020-04-18,-81,-37,-47,-71,-54,19
"63877","GB","United Kingdom",NA,"","","",NA,2020-04-19,-80,-40,-12,-66,-49,14
"63878","GB","United Kingdom",NA,"","","",NA,2020-04-20,-71,-30,-2,-68,-67,25
"63879","GB","United Kingdom",NA,"","","",NA,2020-04-21,-72,-28,2,-67,-67,26
"63880","GB","United Kingdom",NA,"","","",NA,2020-04-22,-72,-28,1,-67,-66,27
"63881","GB","United Kingdom",NA,"","","",NA,2020-04-23,-72,-27,6,-67,-66,27
"63882","GB","United Kingdom",NA,"","","",NA,2020-04-24,-73,-26,-4,-66,-65,27
"63883","GB","United Kingdom",NA,"","","",NA,2020-04-25,-78,-32,-23,-65,-51,18
"63884","GB","United Kingdom",NA,"","","",NA,2020-04-26,-78,-37,-10,-64,-48,14
"63885","GB","United Kingdom",NA,"","","",NA,2020-04-27,-69,-29,-3,-66,-65,25
"63886","GB","United Kingdom",NA,"","","",NA,2020-04-28,-74,-33,-42,-71,-66,25
"63887","GB","United Kingdom",NA,"","","",NA,2020-04-29,-73,-30,-31,-69,-66,27
"63888","GB","United Kingdom",NA,"","","",NA,2020-04-30,-74,-28,-31,-69,-66,27
"63889","GB","United Kingdom",NA,"","","",NA,2020-05-01,-74,-27,-22,-67,-64,27
"63890","GB","United Kingdom",NA,"","","",NA,2020-05-02,-78,-30,-18,-63,-49,17
"63891","GB","United Kingdom",NA,"","","",NA,2020-05-03,-79,-37,-21,-64,-46,14
"63892","GB","United Kingdom",NA,"","","",NA,2020-05-04,-69,-27,4,-64,-64,24
"63893","GB","United Kingdom",NA,"","","",NA,2020-05-05,-70,-25,4,-64,-64,25
"63894","GB","United Kingdom",NA,"","","",NA,2020-05-06,-69,-22,16,-62,-63,25
"63895","GB","United Kingdom",NA,"","","",NA,2020-05-07,-67,-15,16,-62,-63,25
"63896","GB","United Kingdom",NA,"","","",NA,2020-05-08,-75,-28,14,-68,-77,30
"63897","GB","United Kingdom",NA,"","","",NA,2020-05-09,-78,-29,-6,-62,-48,17
"63898","GB","United Kingdom",NA,"","","",NA,2020-05-10,-80,-37,-38,-68,-45,14
"63899","GB","United Kingdom",NA,"","","",NA,2020-05-11,-67,-25,-8,-64,-62,24
"63900","GB","United Kingdom",NA,"","","",NA,2020-05-12,-68,-23,7,-62,-62,24
"63901","GB","United Kingdom",NA,"","","",NA,2020-05-13,-68,-23,6,-62,-61,25
"63902","GB","United Kingdom",NA,"","","",NA,2020-05-14,-67,-21,28,-61,-61,23
"63903","GB","United Kingdom",NA,"","","",NA,2020-05-15,-69,-21,21,-60,-60,24
"63904","GB","United Kingdom",NA,"","","",NA,2020-05-16,-74,-25,5,-58,-43,15
"63905","GB","United Kingdom",NA,"","","",NA,2020-05-17,-74,-29,27,-55,-39,12
"63906","GB","United Kingdom",NA,"","","",NA,2020-05-18,-63,-20,36,-59,-59,22
"63907","GB","United Kingdom",NA,"","","",NA,2020-05-19,-64,-18,51,-57,-59,22
"63908","GB","United Kingdom",NA,"","","",NA,2020-05-20,-64,-16,68,-56,-59,22
"63909","GB","United Kingdom",NA,"","","",NA,2020-05-21,-64,-16,51,-58,-59,23
"63910","GB","United Kingdom",NA,"","","",NA,2020-05-22,-66,-18,14,-59,-58,24
"63911","GB","United Kingdom",NA,"","","",NA,2020-05-23,-72,-23,-12,-59,-41,15
"63912","GB","United Kingdom",NA,"","","",NA,2020-05-24,-71,-25,38,-52,-36,11
"63913","GB","United Kingdom",NA,"","","",NA,2020-05-25,-64,-23,136,-60,-77,24
"63914","GB","United Kingdom",NA,"","","",NA,2020-05-26,-60,-14,66,-55,-59,21
"63915","GB","United Kingdom",NA,"","","",NA,2020-05-27,-61,-15,65,-55,-58,22
"63916","GB","United Kingdom",NA,"","","",NA,2020-05-28,-60,-12,77,-55,-58,22
"63917","GB","United Kingdom",NA,"","","",NA,2020-05-29,-62,-12,67,-53,-56,22
"63918","GB","United Kingdom",NA,"","","",NA,2020-05-30,-69,-16,48,-49,-31,12
"63919","GB","United Kingdom",NA,"","","",NA,2020-05-31,-67,-19,67,-45,-26,9
"63920","GB","United Kingdom",NA,"","","",NA,2020-06-01,-56,-13,74,-51,-53,19
"63921","GB","United Kingdom",NA,"","","",NA,2020-06-02,-59,-15,78,-51,-54,19
"63922","GB","United Kingdom",NA,"","","",NA,2020-06-03,-62,-19,0,-57,-54,22
"63923","GB","United Kingdom",NA,"","","",NA,2020-06-04,-61,-17,19,-56,-54,22
"63924","GB","United Kingdom",NA,"","","",NA,2020-06-05,-63,-17,9,-56,-53,22
"63925","GB","United Kingdom",NA,"","","",NA,2020-06-06,-70,-22,-17,-57,-33,14
"63926","GB","United Kingdom",NA,"","","",NA,2020-06-07,-67,-23,22,-51,-28,10
"63927","GB","United Kingdom",NA,"","","",NA,2020-06-08,-56,-17,44,-54,-52,19
"63928","GB","United Kingdom",NA,"","","",NA,2020-06-09,-58,-17,56,-53,-52,20
"63929","GB","United Kingdom",NA,"","","",NA,2020-06-10,-61,-19,-1,-58,-52,21
"63930","GB","United Kingdom",NA,"","","",NA,2020-06-11,-59,-17,15,-58,-52,21
"63931","GB","United Kingdom",NA,"","","",NA,2020-06-12,-61,-17,6,-57,-51,21
"63932","GB","United Kingdom",NA,"","","",NA,2020-06-13,-65,-17,41,-49,-24,11
"63933","GB","United Kingdom",NA,"","","",NA,2020-06-14,-63,-20,65,-46,-19,8
"63934","GB","United Kingdom",NA,"","","",NA,2020-06-15,-46,-14,63,-50,-50,18
"63935","GB","United Kingdom",NA,"","","",NA,2020-06-16,-50,-13,53,-51,-50,19
"63936","GB","United Kingdom",NA,"","","",NA,2020-06-17,-52,-14,34,-52,-50,19
"63937","GB","United Kingdom",NA,"","","",NA,2020-06-18,-54,-15,8,-56,-52,20
"63938","GB","United Kingdom",NA,"","","",NA,2020-06-19,-53,-11,20,-52,-50,19
"63939","GB","United Kingdom",NA,"","","",NA,2020-06-20,-57,-10,49,-43,-20,9
"63940","GB","United Kingdom",NA,"","","",NA,2020-06-21,-58,-17,37,-44,-14,7
"63941","GB","United Kingdom",NA,"","","",NA,2020-06-22,-45,-13,72,-49,-51,17
"63942","GB","United Kingdom",NA,"","","",NA,2020-06-23,-48,-10,90,-48,-51,17
"63943","GB","United Kingdom",NA,"","","",NA,2020-06-24,-49,-8,98,-47,-49,17
"63944","GB","United Kingdom",NA,"","","",NA,2020-06-25,-49,-6,102,-47,-49,17
"63945","GB","United Kingdom",NA,"","","",NA,2020-06-26,-51,-9,50,-48,-49,18
"63946","GB","United Kingdom",NA,"","","",NA,2020-06-27,-59,-15,-7,-49,-24,11
"63947","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-15,-3,-4,-32,-4,-1,2
"63948","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-16,6,0,-13,4,2,-1
"63949","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-17,11,0,24,2,-10,1
"63950","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-18,5,0,26,1,-6,1
"63951","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-19,2,-2,9,4,-6,2
"63952","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-20,-1,3,-1,-1,1,0
"63953","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-21,0,-1,-10,-3,-1,1
"63954","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-22,0,1,0,3,3,1
"63955","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-23,3,0,4,18,4,-1
"63956","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-24,-4,-7,-33,1,0,2
"63957","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-25,0,6,12,6,2,0
"63958","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-26,2,0,-8,6,1,1
"63959","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-27,1,2,-1,5,3,0
"63960","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-28,3,0,-18,7,1,0
"63961","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-02-29,7,4,2,9,3,-1
"63962","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-01,7,3,-15,16,2,-1
"63963","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-02,5,3,17,8,2,0
"63964","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-03,1,4,14,4,1,0
"63965","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-04,5,6,10,1,1,0
"63966","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-05,-1,5,20,2,2,0
"63967","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-06,0,2,4,2,1,0
"63968","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-07,-2,2,-15,3,1,0
"63969","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-08,1,5,21,10,0,-1
"63970","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-09,3,2,-2,1,0,1
"63971","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-10,3,5,14,3,1,0
"63972","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-11,0,4,-8,-4,0,1
"63973","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-12,-5,9,-7,-8,0,1
"63974","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-13,-4,9,-8,-7,-2,1
"63975","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-14,-13,8,-34,-11,-2,3
"63976","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-15,-8,5,-22,-4,-4,1
"63977","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-16,-6,17,-14,-16,-9,4
"63978","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-17,-18,17,-10,-25,-16,7
"63979","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-18,-24,19,-4,-28,-24,10
"63980","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-19,-28,20,1,-32,-29,12
"63981","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-20,-35,7,-9,-34,-31,13
"63982","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-21,-57,1,-12,-44,-26,11
"63983","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-22,-60,-15,-6,-44,-32,8
"63984","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-23,-53,-14,-32,-51,-48,18
"63985","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-24,-75,-26,-30,-59,-61,24
"63986","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-25,-78,-26,-25,-63,-67,27
"63987","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-26,-80,-28,-16,-67,-69,28
"63988","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-27,-80,-28,-28,-69,-69,30
"63989","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-28,-87,-36,-55,-73,-60,NA
"63990","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-29,-86,-41,-46,-73,-58,NA
"63991","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-30,-77,-32,-15,-68,-70,27
"63992","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-03-31,-79,-30,-30,-68,-71,28
"63993","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-01,-79,-30,-27,-68,-70,29
"63994","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-02,-81,-33,-33,-72,-71,30
"63995","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-03,-80,-29,-33,-70,-70,30
"63996","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-04,-86,-31,-30,-71,-60,NA
"63997","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-05,-84,-37,-39,-71,-57,NA
"63998","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-06,-78,-30,-20,-69,-71,28
"63999","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-07,-79,-30,-9,-65,-71,28
"64000","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-08,-80,-32,-32,-67,-71,29
"64001","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-09,-80,-24,-19,-67,-72,29
"64002","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-10,-80,-25,-28,-68,-73,30
"64003","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-11,-85,-25,-2,-64,-61,NA
"64004","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-12,-87,-42,-46,-72,-58,NA
"64005","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-13,-82,-38,-20,-72,-76,30
"64006","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-14,-79,-29,-9,-64,-71,28
"64007","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-15,-78,-27,9,-65,-71,28
"64008","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-16,-80,-29,-16,-66,-71,29
"64009","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-17,-80,-27,-6,-67,-71,30
"64010","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-18,-86,-29,-4,-68,-58,NA
"64011","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-19,-84,-33,12,-65,-54,NA
"64012","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-20,-78,-31,32,-65,-70,27
"64013","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-21,-79,-29,33,-65,-69,27
"64014","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-22,-80,-30,15,-67,-69,28
"64015","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-23,-81,-26,42,-66,-69,28
"64016","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-24,-81,-27,-7,-70,-68,29
"64017","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-25,-85,-27,-7,-69,-56,NA
"64018","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-26,-84,-34,-28,-70,-55,NA
"64019","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-27,-80,-32,-13,-68,-69,27
"64020","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-28,-80,-29,8,-65,-69,25
"64021","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-29,-80,-29,10,-64,-68,28
"64022","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-04-30,-79,-27,1,-68,-69,29
"64023","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-01,-79,-27,5,-67,-68,28
"64024","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-02,-84,-26,-18,-68,-56,NA
"64025","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-03,-81,-33,-4,-67,-51,NA
"64026","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-04,-75,-28,40,-66,-67,26
"64027","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-05,-77,-27,34,-65,-67,26
"64028","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-06,-76,-22,48,-63,-67,27
"64029","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-07,-77,-19,53,-65,-68,27
"64030","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-08,-79,-25,-5,-71,-74,30
"64031","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-09,-84,-29,-10,-68,-56,NA
"64032","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-10,-82,-31,-30,-71,-49,NA
"64033","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-11,-74,-26,14,-67,-67,26
"64034","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-12,-78,-29,-22,-69,-67,27
"64035","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-13,-78,-26,-16,-66,-66,27
"64036","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-14,-76,-22,9,-66,-67,26
"64037","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-15,-77,-23,8,-67,-66,28
"64038","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-16,-81,-24,18,-64,-52,18
"64039","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-17,-80,-30,-9,-66,-47,NA
"64040","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-18,-72,-24,42,-61,-66,25
"64041","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-19,-74,-22,73,-61,-65,25
"64042","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-20,-73,-19,82,-59,-65,26
"64043","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-21,-74,-20,52,-65,-65,26
"64044","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-22,-75,-21,-17,-67,-65,28
"64045","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-23,-80,-22,9,-65,-49,18
"64046","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-24,-78,-26,35,-63,-44,NA
"64047","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-25,-70,-23,86,-63,-66,25
"64048","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-26,-71,-21,NA,-60,-63,24
"64049","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-27,-73,-21,59,-60,-63,25
"64050","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-28,-71,-16,102,-61,-63,25
"64051","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-29,-71,-10,152,-57,-62,23
"64052","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-30,-77,-16,114,-57,-40,13
"64053","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-05-31,-73,-16,109,-53,-34,8
"64054","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-01,-65,-15,NA,-56,-61,21
"64055","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-02,-69,-25,15,-63,-61,24
"64056","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-03,-73,-24,-16,-63,-61,26
"64057","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-04,-71,-18,41,-63,-61,25
"64058","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-05,-74,-25,-27,-70,-61,27
"64059","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-06,-76,-19,100,-61,-40,14
"64060","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-07,-74,-25,15,-65,-36,NA
"64061","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-08,-65,-20,81,-60,-59,23
"64062","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-09,-67,-21,78,-60,-60,23
"64063","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-10,-71,-24,-4,-66,-60,25
"64064","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-11,-67,-13,NA,-59,-59,23
"64065","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-12,-70,-19,32,-64,-59,25
"64066","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-13,-75,-22,19,-62,-40,16
"64067","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-14,-72,-23,25,-65,-32,12
"64068","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-15,-63,-19,67,-60,-59,22
"64069","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-16,-65,-16,NA,-56,-58,22
"64070","GB","United Kingdom","Scotland","Aberdeen City","","GB-ABE",NA,2020-06-17,-67,-17,91,-58,-58,22
