"google_district","address_count_new","address_w_private_outdoor_space_count_new","percent_addresses_w_private_outdoor_space_new","total_area_private_outdoor_space_m2_new","average_size_private_outdoor_space_m2_new","avg_dist_nearest_public_green_m_new","avg_count_public_green_1000m_radius_new","avg_combined_size_public_green_1000m_radius_m2_new"
"Surrey",501743,449568,0.896012500423524,209619975.8,532.390909090909,369.967272727273,4.05636363636364,538442.402727273
"Swindon",99036,90508,0.913889898622723,17655636.2,216.4,409.32,3.6,361435.97
"Thurrock",67924,58648,0.863435604499146,12253278.9,232,344.9,3.66,248007.4
"Torbay",73259,65625,0.89579437338757,14233513.1,294.3,289.78,6.68,183543.89
"Tyne and Wear",530778,488183,0.919749876596242,72111120.3,169.96,294.288,6.222,478327.806
"Warrington",93579,86613,0.925560221844645,19160340.6,235.6,263.14,6.55,347163.84
"Warwickshire",259309,235423,0.907885958451114,84316274.2,394.26,411.872,3.612,228735.41
"West Berkshire",69115,62246,0.90061491716704,35369335.8,625.2,437.05,4.36,194190.13
"West Midlands",1272886,1126702,0.885155465611217,242766051,250.3375,352.5425,4.30625,470142.14
"West Sussex",383925,345020,0.898665103861431,131841867.3,410.885714285714,383.742857142857,3.69428571428571,181965.184285714
"West Yorkshire",1016727,885134,0.870571943107639,188255047.5,234.36,316.076,5.09,232330.872
"Wiltshire",224632,203557,0.906179885323551,93229363.5,492.1,551.76,2.86,156370.38
"Windsor and Maidenhead",64419,56566,0.878094971980316,24529721.4,510.2,354.35,4.41,3023029
"Wokingham",70425,64504,0.915924742634008,25745866.5,431.2,359.96,4.27,389195.6
"Worcestershire",268796,245528,0.913436211848391,99525473.3,439.083333333333,438.31,3.81666666666667,322331.126666667
"York",87724,80376,0.916237289681273,18857408.5,262.9,354.37,4.44,179180.46
